R (a.u.),Phase (deg),Uncorrected phase (deg),Noise (a.u.),X (a.u.),Y (a.u.),Sin Harmonic n,Sin Harmonic n+1,Sin Harmonic n+2,Cos Harmonic n,Cos Harmonic n+1,Cos Harmonic n+2,Higher harmonic number n
149.84485,-12.16962,-0.21240,376.70949,-146.4774,31.58877,-4.51823,-39.14420,-6.94239,-8.15350,28.11046,-5.15200,2
130.74586,-12.16046,-0.21224,359.17773,-127.8122,27.54127,-3.93783,-34.16249,-6.05327,-7.11406,24.50877,-4.49778,2
113.98448,-12.14957,-0.21205,341.42048,-111.43145,23.98944,-3.42876,-29.78971,-5.27255,-6.20147,21.34756,-3.92420,2
99.29471,-12.13696,-0.21183,323.63955,-97.07531,20.8764,-2.98314,-25.95656,-4.58796,-5.40218,18.57714,-3.42156,2
86.43653,-12.12207,-0.21157,306.00489,-84.50913,18.1516,-2.59261,-22.60145,-3.98945,-4.70270,16.15193,-2.98161,2
75.19515,-12.10545,-0.21128,288.65745,-73.52303,15.7694,-2.25123,-19.66876,-3.46621,-4.09097,14.03089,-2.59675,2
65.37867,-12.08654,-0.21095,271.71194,-63.92936,13.68968,-1.95329,-17.10790,-3.00950,-3.55744,12.17888,-2.26094,2
56.81495,-12.06477,-0.21057,255.25980,-55.56001,11.87539,-1.69361,-14.87362,-2.61069,-3.09229,10.56384,-1.96828,2
49.35156,-12.03956,-0.21013,239.37192,-48.26599,10.29417,-1.46751,-12.92591,-2.26295,-2.68667,9.15640,-1.71348,2
42.85286,-12.01034,-0.20962,224.10126,-41.9148,8.91723,-1.27073,-11.23062,-1.96022,-2.33291,7.93070,-1.49133,2
37.19933,-11.97711,-0.20904,209.48531,-36.38956,7.71947,-1.09964,-9.75627,-1.69710,-2.02514,6.86429,-1.29719,2
32.2854,-11.93815,-0.20836,195.54825,-31.58709,6.67851,-0.95084,-8.47514,-1.46819,-1.75805,5.93711,-1.12889,2
28.0175,-11.89403,-0.20759,182.30305,-27.41599,5.77439,-0.82160,-7.36226,-1.26907,-1.52577,5.13212,-0.98235,2
24.31339,-11.84304,-0.20670,169.75331,-23.79585,4.98983,-0.70968,-6.39571,-1.09625,-1.32425,4.43375,-0.85518,2
21.10039,-11.7846,-0.20568,157.89485,-20.65567,4.3093,-0.61226,-5.55779,-0.94651,-1.14995,3.82832,-0.74448,2
18.31551,-11.71699,-0.20450,146.71720,-17.93386,3.71948,-0.52723,-4.83201,-0.81724,-0.99910,3.30352,-0.64860,2
15.90333,-11.63906,-0.20314,136.20478,-15.57632,3.20842,-0.45284,-4.20350,-0.70527,-0.86816,2.84872,-0.56561,2
13.81531,-11.54968,-0.20158,126.33801,-13.53556,2.7661,-0.38853,-3.65903,-0.60851,-0.75474,2.45573,-0.49343,2
12.00825,-11.44598,-0.19977,117.09435,-11.76942,2.383,-0.33355,-3.18776,-0.52440,-0.65665,2.11561,-0.43141,2
10.44592,-11.32394,-0.19764,108.44900,-10.24256,2.05113,-0.28606,-2.78109,-0.45192,-0.57205,1.82090,-0.37751,2
9.09586,-11.18643,-0.19524,100.37561,-8.92306,1.76457,-0.24479,-2.42952,-0.38961,-0.49888,1.56627,-0.33110,2
7.9295,-11.03288,-0.19256,92.84689,-7.78293,1.51752,-0.20884,-2.12566,-0.33621,-0.43570,1.34609,-0.29040,2
6.92232,-10.86156,-0.18957,85.83507,-6.79831,1.30442,-0.17807,-1.86322,-0.28990,-0.38166,1.15617,-0.25588,2
6.0528,-10.66561,-0.18615,79.31230,-5.94824,1.12021,-0.15130,-1.63692,-0.24969,-0.33483,0.99221,-0.22631,2
5.30222,-10.44731,-0.18234,73.25095,-5.21432,0.96148,-0.12824,-1.44136,-0.21533,-0.29450,0.85126,-0.20062,2
4.65529,-10.20037,-0.17803,67.62386,-4.58171,0.8244,-0.10840,-1.27311,-0.18554,-0.25973,0.72950,-0.17860,2
4.09763,-9.91905,-0.17312,62.40458,-4.03638,0.70584,-0.09133,-1.12875,-0.16001,-0.22953,0.62498,-0.15956,2
3.61714,-9.60793,-0.16769,57.56749,-3.5664,0.60372,-0.07610,-1.00381,-0.13753,-0.20321,0.53494,-0.14333,2
3.20372,-9.27046,-0.16180,53.08793,-3.16188,0.51611,-0.06280,-0.89569,-0.11799,-0.18043,0.45727,-0.12908,2
2.8481,-8.9072,-0.15546,48.94230,-2.81376,0.44098,-0.05162,-0.80261,-0.10086,-0.16066,0.39015,-0.11710,2
2.54242,-8.52389,-0.14877,45.10808,-2.51434,0.37685,-0.04242,-0.72282,-0.08594,-0.14392,0.33217,-0.10629,2
2.27927,-8.12225,-0.14176,41.56389,-2.2564,0.32204,-0.03449,-0.65415,-0.07315,-0.12937,0.28223,-0.09748,2
2.05345,-7.69368,-0.13428,38.28950,-2.03497,0.27491,-0.02814,-0.59487,-0.06206,-0.11668,0.23930,-0.09006,2
1.85942,-7.24734,-0.12649,35.26578,-1.84456,0.23458,-0.02229,-0.54394,-0.05263,-0.10586,0.20211,-0.08395,2
1.69224,-6.7907,-0.11852,32.47476,-1.68037,0.2001,-0.01770,-0.50009,-0.04362,-0.09631,0.17004,-0.07858,2
1.5479,-6.31113,-0.11015,29.89955,-1.53852,0.17016,-0.01417,-0.46208,-0.03583,-0.08798,0.14196,-0.07341,2
1.42251,-5.83615,-0.10186,27.52434,-1.41513,0.14465,-0.01134,-0.42883,-0.02906,-0.08028,0.11745,-0.06906,2
8.12186,-10.37684,-0.18111,25.32651,-7.98902,1.46292,-0.19570,-2.22869,-0.29955,-0.38450,1.30785,-0.26370,2
56.51593,-11.49296,-0.20059,25.50764,-55.38276,11.26054,-1.55552,-15.11381,-2.36672,-2.83393,10.08617,-1.84808,2
139.07103,-11.64938,-0.20332,40.15920,-136.20641,28.08139,-3.89059,-37.05448,-5.93962,-7.10084,25.14361,-4.61068,2
244.01635,-11.69292,-0.20408,71.46821,-238.95228,49.45491,-6.87701,-64.95555,-10.52526,-12.60726,44.27478,-8.18518,2
362.40983,-11.7634,-0.20531,112.70498,-354.79837,73.88508,-10.28957,-96.25702,-15.76495,-18.84530,66.11585,-12.19465,2
487.54964,-11.83845,-0.20662,159.07714,-477.1795,100.02188,-13.95089,-129.15652,-21.38438,-25.47669,89.44847,-16.41425,2
614.50319,-11.92039,-0.20805,207.17372,-601.25192,126.92637,-17.72326,-162.31270,-27.17019,-32.22546,113.43394,-20.65673,2
739.70183,-11.96565,-0.20884,254.42508,-723.62974,153.3584,-21.43967,-195.06183,-32.87687,-38.92151,137.00273,-24.88885,2
860.64441,-11.98685,-0.20921,298.93348,-841.87773,178.74756,-24.99957,-226.78183,-38.34311,-45.35810,159.65414,-28.96864,2
975.64007,-12.02295,-0.20984,339.33359,-954.23804,203.23218,-28.43094,-256.73895,-43.60238,-51.47532,181.46341,-32.79333,2
1083.62836,-12.04185,-0.21017,374.74383,-1059.78301,226.07606,-31.65811,-284.95056,-48.55964,-57.28700,201.81994,-36.45805,2
1184.02073,-12.05732,-0.21044,404.67401,-1157.89901,247.33578,-34.65523,-311.16098,-53.16082,-62.68038,220.75973,-39.85489,2
1276.58497,-12.06133,-0.21051,428.94093,-1248.4047,266.74876,-37.39541,-335.44625,-57.37455,-67.66135,238.07631,-43.02235,2
1361.33045,-12.05217,-0.21035,447.60360,-1331.32483,284.24425,-39.88365,-357.83395,-61.20925,-72.25709,253.70060,-45.98454,2
1438.45926,-12.05904,-0.21047,460.87883,-1406.71689,300.52061,-42.19609,-378.00514,-64.76618,-76.44874,268.20519,-48.64072,2
